country,country_code,year,region,population,gdp_per_capita,health_expenditure_per_capita,child_mortality_rate
Afghanistan,AFG,2019,Asia,37856125.0,2927.245,383.1649,6.2715735
Albania,ALB,2019,Europe,2885011.0,16761.123,992.4126,0.93866694
Algeria,DZA,2019,Africa,43294551.0,15199.199,752.6032,2.3281791
Andorra,AND,2019,Europe,76492.0,63215.9,4091.23,0.29873526
Angola,AGO,2019,Africa,32375633.0,9712.9795,188.94135,5.534807
Antigua and Barbuda,ATG,2019,North America,91377.0,29651.863,1135.5015,1.0302182
Argentina,ARG,2019,South America,44973469.0,26629.553,2379.694,1.0491704
Armenia,ARM,2019,Asia,2903975.0,16215.36,1738.5587,1.2125634
Australia,AUS,2019,Oceania,25482714.0,58048.617,5464.5693,0.37860116
Austria,AUT,2019,Europe,8880876.0,64609.285,6428.202,0.3471869
Azerbaijan,AZE,2019,Asia,10110483.0,20101.492,691.39655,2.2653437
Bahamas,BHS,2019,North America,394684.0,33202.49,2019.8605,2.4267964
Bahrain,BHR,2019,Asia,1485675.0,56749.96,2139.141,0.78375286
Bangladesh,BGD,2019,Asia,164913060.0,6838.326,128.62997,3.2297723
Barbados,BRB,2019,North America,281216.0,19890.455,1064.6445,1.1440879
Belarus,BLR,2019,Europe,9435415.0,26798.82,1305.0011,0.31306437
Belgium,BEL,2019,Europe,11490623.0,60479.977,6176.006,0.3921397
Belize,BLZ,2019,North America,385833.0,11765.975,507.2402,1.348552
Benin,BEN,2019,Africa,12726760.0,3281.1047,94.53454,8.704737
Bhutan,BTN,2019,Asia,764830.0,14555.188,417.63123,2.2716134
Bolivia,BOL,2019,South America,11671386.0,11930.916,631.9301,2.0600727
Bosnia and Herzegovina,BIH,2019,Europe,3345532.0,17029.297,1466.5083,0.6697443
Botswana,BWA,2019,Africa,2332082.0,18106.01,975.31445,3.9978778
Brazil,BRA,2019,South America,207455459.0,18018.621,1545.0332,1.5030346
Brunei,BRN,2019,Asia,442690.0,80228.16,1547.287,1.0532175
Bulgaria,BGR,2019,Europe,6975466.0,29149.922,1895.1364,0.67218775
Burkina Faso,BFA,2019,Africa,20961956.0,2391.5364,119.85648,8.80913
Burundi,BDI,2019,Africa,12255339.0,1054.726,70.51433,5.621824
Cambodia,KHM,2019,Asia,16481305.0,6448.885,311.26968,2.2804573
Cameroon,CMR,2019,Africa,25506095.0,4882.3555,154.86755,7.66216
Canada,CAN,2019,North America,37782934.0,57583.824,5554.9634,0.5179659
